Timestamp,Spot,VIX,PCR_Full,PCR_Local,PCR_Signal,MaxPain,Resistance,Support,WeightedScore,RawOIScore,Bias,RSI,VWAP,TechSignal,Score,Unanimous,Taken,SkipReason,TradesToday,Rec1,Rec2,Rec3,PCR_Bands,ATM_IV,IVR,IVP,IV_Skew_Pct,IV_Skew_Dir,PCR_Weekly,PCR_Monthly,PCR_EMA20,PCR_VWAP,PCR_Divergence,PCR_DivSignal,DayScore,DayLabel,TimeWindow,DTE_Weekly,DTE_Monthly,Strategy,StrategyType,Conviction
11-Mar-2026 17:43:34,48517.36,20.5,1.115,1.108,SELL,48500.0,48900,48000,-1174526015,-18451,NEUTRAL,warming,warming,NEUTRAL,39,False,False,Score 39/100 < min 55,0,48600CE@87.8,48600PE@180.5,48700CE@1.0,0.8/1.2,13.26,29.4,21.0,-0.44,BALANCED,,,1.108,1.108,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Straddle,BUY,LOW
11-Mar-2026 17:43:35,48546.36,20.5,1.106,1.092,NEUTRAL,48500.0,48100,48300,2501160771,-6454,BEARISH,warming,warming,NEUTRAL,50,False,False,Score 50/100 < min 55,0,48600PE@181.7,48500PE@179.9,48400PE@92.8,0.8/1.2,13.48,32.5,23.4,-0.21,BALANCED,,,1.1065,1.0998,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
11-Mar-2026 17:43:36,48553.73,20.5,1.133,1.135,SELL,48600.0,47800,48200,1807092786,29035,BEARISH,warming,warming,NEUTRAL,57,False,True,PASS,1,48600PE@180.4,48500PE@92.8,48400PE@1.0,0.8/1.2,13.25,29.3,21.0,0.99,BALANCED,,,1.1092,1.1109,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
11-Mar-2026 17:43:37,48573.59,20.5,1.1,1.105,SELL,48600.0,48900,48200,1156685887,33168,BEARISH,warming,warming,NEUTRAL,50,False,False,Score 50/100 < min 55,1,48600PE@179.2,48500PE@90.8,48400PE@1.7,0.8/1.2,13.48,32.5,23.4,1.25,BALANCED,,,1.1088,1.1094,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
11-Mar-2026 17:43:38,48586.71,20.5,1.091,1.081,NEUTRAL,48600.0,47900,49000,-2087890554,-7253,NEUTRAL,warming,warming,NEUTRAL,38,False,False,Score 38/100 < min 55,1,48600CE@180.4,48600PE@179.4,48700CE@90.0,0.8/1.2,13.78,36.8,25.4,1.05,BALANCED,,,1.1061,1.1036,,NEUTRAL,53,Best Day,Off-Hours,0,15,Iron Condor,SELL,LOW
11-Mar-2026 17:43:39,48606.26,20.5,1.121,1.115,SELL,48600.0,48100,49600,670392750,-40238,BEARISH,warming,warming,NEUTRAL,58,True,False,Too soon after last trade (0min < 45min gap),1,48700PE@179.2,48600PE@179.2,48500PE@88.4,0.8/1.2,14.11,41.4,29.8,-0.33,BALANCED,,,1.107,1.1054,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
11-Mar-2026 17:43:41,48573.95,20.5,1.144,1.133,SELL,48600.0,49300,48100,-2182222306,-121799,NEUTRAL,warming,warming,NEUTRAL,40,False,False,Score 40/100 < min 55,1,48600CE@179.3,48600PE@182.7,48700CE@88.8,0.8/1.2,13.81,37.2,25.4,1.03,BALANCED,,,1.1095,1.1093,,NEUTRAL,53,Best Day,Off-Hours,0,15,Iron Condor,SELL,LOW
11-Mar-2026 17:43:42,48543.88,20.5,1.108,1.116,SELL,48500.0,48900,48000,-4171408166,-91539,NEUTRAL,warming,warming,NEUTRAL,39,False,False,Score 39/100 < min 55,1,48600CE@88.6,48600PE@182.4,48700CE@1.0,0.8/1.2,13.93,38.9,27.4,-0.2,BALANCED,,,1.1101,1.1101,,NEUTRAL,53,Best Day,Off-Hours,0,15,Iron Condor,SELL,LOW
11-Mar-2026 17:43:43,48525.72,20.5,1.122,1.123,SELL,48500.0,47900,48600,-4725418136,-44921,NEUTRAL,warming,warming,NEUTRAL,39,False,False,Score 39/100 < min 55,1,48600CE@88.8,48600PE@177.6,48700CE@1.0,0.8/1.2,14.54,47.5,35.7,-0.19,BALANCED,,,1.1113,1.1115,,NEUTRAL,53,Best Day,Off-Hours,0,15,Iron Condor,SELL,LOW
11-Mar-2026 17:43:44,48513.64,20.5,1.136,1.133,SELL,48500.0,49300,48300,4629154335,7443,BEARISH,warming,warming,NEUTRAL,55,False,False,Too soon after last trade (0min < 45min gap),1,48600PE@177.6,48500PE@180.2,48400PE@88.5,0.8/1.2,14.5,46.9,34.9,-0.24,BALANCED,,,1.1134,1.1136,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
