Date,ATM_IV,VIX
2025-03-24,11.27,15.03
2025-03-25,11.29,15.05
2025-03-26,11.32,15.09
2025-03-27,11.69,15.59
2025-03-28,11.7,15.6
2025-03-31,11.17,14.89
2025-04-01,11.39,15.19
2025-04-02,11.36,15.15
2025-04-03,11.36,15.15
2025-04-04,11.48,15.31
2025-04-07,11.65,15.53
2025-04-08,12.19,16.25
2025-04-09,12.5,16.67
2025-04-10,12.59,16.79
2025-04-11,12.34,16.45
2025-04-14,11.98,15.97
2025-04-15,12.14,16.19
2025-04-16,12.72,16.96
2025-04-17,12.78,17.04
2025-04-18,12.77,17.03
2025-04-21,13.02,17.36
2025-04-22,12.47,16.63
2025-04-23,12.39,16.52
2025-04-24,12.63,16.84
2025-04-25,13.02,17.36
2025-04-28,12.96,17.28
2025-04-29,13.14,17.52
2025-04-30,13.26,17.68
2025-05-01,13.6,18.13
2025-05-02,13.17,17.56
2025-05-05,13.42,17.89
2025-05-06,12.83,17.11
2025-05-07,11.82,15.76
2025-05-08,11.64,15.52
2025-05-09,11.34,15.12
2025-05-12,11.77,15.69
2025-05-13,12.11,16.15
2025-05-14,11.68,15.57
2025-05-15,12.08,16.11
2025-05-16,11.74,15.65
2025-05-19,11.77,15.69
2025-05-20,11.72,15.63
2025-05-21,11.84,15.79
2025-05-22,12.23,16.31
2025-05-23,12.54,16.72
2025-05-26,12.72,16.96
2025-05-27,13.02,17.36
2025-05-28,13.24,17.65
2025-05-29,13.01,17.35
2025-05-30,12.76,17.01
2025-06-02,12.61,16.81
2025-06-03,12.85,17.13
2025-06-04,12.78,17.04
2025-06-05,13.75,18.33
2025-06-06,13.43,17.91
2025-06-09,13.01,17.35
2025-06-10,13.35,17.8
2025-06-11,13.94,18.59
2025-06-12,14.14,18.85
2025-06-13,14.47,19.29
2025-06-16,15.03,20.04
2025-06-17,14.96,19.95
2025-06-18,14.36,19.15
2025-06-19,14.14,18.85
2025-06-20,14.51,19.35
2025-06-23,13.92,18.56
2025-06-24,13.94,18.59
2025-06-25,14.04,18.72
2025-06-26,13.91,18.55
2025-06-27,14.2,18.93
2025-06-30,14.43,19.24
2025-07-01,15.35,20.47
2025-07-02,15.55,20.73
2025-07-03,15.26,20.35
2025-07-04,15.0,20.0
2025-07-07,14.64,19.52
2025-07-08,15.0,20.0
2025-07-09,14.74,19.65
2025-07-10,14.69,19.59
2025-07-11,14.97,19.96
2025-07-14,14.65,19.53
2025-07-15,14.52,19.36
2025-07-16,13.76,18.35
2025-07-17,13.34,17.79
2025-07-18,13.13,17.51
2025-07-21,13.32,17.76
2025-07-22,13.82,18.43
2025-07-23,13.82,18.43
2025-07-24,13.93,18.57
2025-07-25,14.0,18.67
2025-07-28,14.43,19.24
2025-07-29,14.78,19.71
2025-07-30,14.86,19.81
2025-07-31,14.43,19.24
2025-08-01,14.78,19.71
2025-08-04,14.91,19.88
2025-08-05,15.37,20.49
2025-08-06,15.32,20.43
2025-08-07,16.06,21.41
2025-08-08,15.86,21.15
2025-08-11,16.44,21.92
2025-08-12,16.41,21.88
