Date,ATM_IV,VIX
2025-03-21,15.36,20.48
2025-03-24,15.25,20.33
2025-03-25,15.17,20.23
2025-03-26,15.42,20.56
2025-03-27,15.32,20.43
2025-03-28,14.68,19.57
2025-03-31,14.8,19.73
2025-04-01,14.67,19.56
2025-04-02,14.56,19.41
2025-04-03,14.59,19.45
2025-04-04,14.66,19.55
2025-04-07,15.11,20.15
2025-04-08,15.34,20.45
2025-04-09,15.34,20.45
2025-04-10,15.01,20.01
2025-04-11,14.57,19.43
2025-04-14,14.65,19.53
2025-04-15,15.16,20.21
2025-04-16,15.14,20.19
2025-04-17,15.06,20.08
2025-04-18,15.24,20.32
2025-04-21,14.63,19.51
2025-04-22,14.48,19.31
2025-04-23,14.66,19.55
2025-04-24,14.99,19.99
2025-04-25,14.87,19.83
2025-04-28,14.99,19.99
2025-04-29,15.06,20.08
2025-04-30,15.34,20.45
2025-05-01,14.86,19.81
2025-05-02,15.06,20.08
2025-05-05,14.42,19.23
2025-05-06,13.36,17.81
2025-05-07,13.14,17.52
2025-05-08,12.8,17.07
2025-05-09,13.18,17.57
2025-05-12,13.47,17.96
2025-05-13,13.0,17.33
2025-05-14,13.37,17.83
2025-05-15,12.99,17.32
2025-05-16,12.98,17.31
2025-05-19,12.9,17.2
2025-05-20,12.98,17.31
2025-05-21,13.33,17.77
2025-05-22,13.61,18.15
2025-05-23,13.76,18.35
2025-05-26,14.03,18.71
2025-05-27,14.22,18.96
2025-05-28,13.96,18.61
2025-05-29,13.68,18.24
2025-05-30,13.5,18.0
2025-06-02,13.71,18.28
2025-06-03,13.62,18.16
2025-06-04,14.57,19.43
2025-06-05,14.22,18.96
2025-06-06,13.78,18.37
2025-06-09,14.09,18.79
2025-06-10,14.66,19.55
2025-06-11,14.84,19.79
2025-06-12,15.15,20.2
2025-06-13,15.68,20.91
2025-06-16,15.6,20.8
2025-06-17,14.98,19.97
2025-06-18,14.74,19.65
2025-06-19,15.1,20.13
2025-06-20,14.48,19.31
2025-06-23,14.48,19.31
2025-06-24,14.57,19.43
2025-06-25,14.43,19.24
2025-06-26,14.7,19.6
2025-06-27,14.91,19.88
2025-06-30,15.82,21.09
2025-07-01,16.01,21.35
2025-07-02,15.71,20.95
2025-07-03,15.43,20.57
2025-07-04,15.05,20.07
2025-07-07,15.4,20.53
2025-07-08,15.13,20.17
2025-07-09,15.07,20.09
2025-07-10,15.34,20.45
2025-07-11,15.01,20.01
2025-07-14,14.86,19.81
2025-07-15,14.1,18.8
2025-07-16,13.66,18.21
2025-07-17,13.45,17.93
2025-07-18,13.63,18.17
2025-07-21,14.12,18.83
2025-07-22,14.11,18.81
2025-07-23,14.21,18.95
2025-07-24,14.27,19.03
2025-07-25,14.7,19.6
2025-07-28,15.03,20.04
2025-07-29,15.11,20.15
2025-07-30,14.67,19.56
2025-07-31,15.01,20.01
2025-08-01,15.14,20.19
2025-08-04,15.59,20.79
2025-08-05,15.53,20.71
2025-08-06,16.27,21.69
2025-08-07,16.06,21.41
2025-08-08,16.63,22.17
2025-08-11,16.6,22.13
2025-08-12,16.31,21.75
2025-08-13,15.79,21.05
2025-08-14,15.68,20.91
2025-08-15,16.2,21.6
2025-08-18,16.46,21.95
2025-08-19,16.66,22.21
2025-08-20,15.63,20.84
2025-08-21,15.87,21.16
2025-08-22,16.03,21.37
2025-08-25,15.75,21.0
2025-08-26,15.45,20.6
2025-08-27,15.4,20.53
2025-08-28,16.05,21.4
2025-08-29,15.57,20.76
2025-09-01,15.35,20.47
2025-09-02,15.85,21.13
2025-09-03,15.62,20.83
2025-09-04,15.43,20.57
2025-09-05,15.42,20.56
2025-09-08,14.88,19.84
2025-09-09,14.94,19.92
2025-09-10,14.43,19.24
2025-09-11,14.77,19.69
2025-09-12,14.75,19.67
2025-09-15,15.64,20.85
2025-09-16,15.71,20.95
2025-09-17,16.2,21.6
2025-09-18,15.61,20.81
2025-09-19,15.52,20.69
2025-09-22,15.6,20.8
2025-09-23,16.25,21.67
